,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
78,12217181,JD426733,11/10/20 2:30,085XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,614,6,21,71,08B,,,2020,11/17/20 15:49,,,
79,12217614,JD427210,11/10/20 13:25,028XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1412,14,35,21,14,,,2020,11/17/20 15:49,,,
80,12217923,JD427391,11/10/20 14:50,032XX W MAYPOLE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1123,11,28,27,5,,,2020,11/17/20 15:49,,,
81,12217678,JD427087,11/10/20 10:00,032XX S MICHIGAN AVE,890,THEFT,FROM BUILDING,OTHER (SPECIFY),False,False,211,2,3,35,6,,,2020,11/17/20 15:49,,,
82,12217198,JD426704,11/10/20 0:30,023XX E 93RD ST,041A,BATTERY,AGGRAVATED - HANDGUN,HOSPITAL BUILDING / GROUNDS,False,False,413,4,7,48,04B,,,2020,11/17/20 15:49,,,
83,12218500,JD427634,11/10/20 18:08,081XX S KENNETH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,834,8,18,70,7,,,2020,11/17/20 15:49,,,
84,12218695,JD428277,11/10/20 20:00,113XX S INDIANA AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,531,5,9,49,3,,,2020,11/17/20 15:49,,,
85,12218083,JD427376,11/10/20 7:30,044XX N SPAULDING AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1724,17,33,14,5,,,2020,11/17/20 15:49,,,
86,12218835,JD428652,11/10/20 23:00,073XX S RIDGELAND AVE,810,THEFT,OVER $500,STREET,False,False,324,3,8,43,6,,,2020,11/17/20 15:49,,,
88,12218045,JD427698,11/10/20 20:28,050XX W DEMING PL,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,True,2521,25,31,19,04A,,,2020,11/17/20 15:49,,,
89,12217628,JD427306,11/10/20 12:00,055XX S NEWLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,811,8,23,56,11,,,2020,11/17/20 15:49,,,
92,12217407,JD427008,11/10/20 10:40,005XX E 89TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,632,6,9,44,08B,,,2020,11/17/20 15:49,,,
93,12222416,JD432804,11/7/20 0:00,022XX E 95TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,413,4,7,51,11,,,2020,11/17/20 15:49,,,
94,12222485,JD431032,10/25/20 7:00,013XX W 13TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,False,1233,12,25,28,11,,,2020,11/17/20 15:49,,,
95,12218146,JD427815,11/10/20 22:00,063XX S FAIRFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,825,8,17,66,08B,,,2020,11/17/20 15:49,,,
96,12218332,JD427956,11/10/20 10:30,071XX W GRAND AVE,560,ASSAULT,SIMPLE,RESIDENCE,False,False,2512,25,29,18,08A,,,2020,11/17/20 15:49,,,
97,12217954,JD427550,11/10/20 7:00,037XX W DIVERSEY AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,True,2523,25,30,21,3,,,2020,11/17/20 15:49,,,
98,12219480,JD429246,11/10/20 0:00,088XX S WOOD ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2221,22,21,71,6,,,2020,11/17/20 15:49,,,
99,12217782,JD427467,11/10/20 1:00,026XX W HADDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1211,12,1,24,14,,,2020,11/17/20 15:49,,,
100,12220481,JD429916,11/10/20 3:00,039XX N DRAKE AVE,810,THEFT,OVER $500,STREET,False,False,1732,17,35,16,6,,,2020,11/17/20 15:49,,,
101,12218696,JD428528,11/10/20 8:00,063XX S MAY ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,724,7,16,68,6,,,2020,11/17/20 15:49,,,
103,12217858,JD427525,11/10/20 14:30,017XX W NORTH AVE,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1433,14,2,24,6,,,2020,11/17/20 15:49,,,
104,12218288,JD427646,11/10/20 19:16,039XX S ARCHER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,921,9,12,58,14,,,2020,11/17/20 15:49,,,
105,12217312,JD426814,11/10/20 7:15,050XX W FULTON ST,460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,1532,15,28,25,08B,,,2020,11/17/20 15:49,,,
107,12218023,JD427515,11/10/20 16:55,096XX S CHAPPEL AVE,460,BATTERY,SIMPLE,RESIDENCE,False,False,431,4,7,51,08B,,,2020,11/17/20 15:49,,,
109,12217368,JD426991,11/10/20 10:07,064XX S RICHMOND ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,False,823,8,17,66,15,,,2020,11/17/20 15:49,,,
110,12217128,JD426795,11/10/20 0:30,047XX W LEXINGTON ST,330,ROBBERY,AGGRAVATED,STREET,False,False,1131,11,24,25,3,,,2020,11/17/20 15:49,,,
111,12217168,JD426701,11/10/20 0:01,110XX S VERNON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,513,5,9,49,08B,,,2020,11/17/20 15:49,,,
112,12218556,JD428352,11/10/20 19:00,012XX W AUGUSTA BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1213,12,27,24,11,,,2020,11/17/20 15:49,,,
113,12217599,JD426917,11/10/20 9:15,001XX S COLUMBUS DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,114,1,42,32,08B,,,2020,11/17/20 15:49,,,
114,12217681,JD427267,11/10/20 11:30,115XX S HALE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,2212,22,34,75,6,,,2020,11/17/20 15:49,,,
115,12218449,JD428179,11/10/20 15:00,093XX S LEAVITT ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,2221,22,19,72,6,,,2020,11/17/20 15:49,,,
117,12217515,JD426893,11/10/20 9:10,071XX S CYRIL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,333,3,5,43,14,,,2020,11/17/20 15:49,,,
118,12217299,JD426833,11/10/20 7:50,071XX S HONORE ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,735,7,17,67,04A,,,2020,11/17/20 15:49,,,
119,12217718,JD427053,11/10/20 3:58,099XX S HALSTED ST,810,THEFT,OVER $500,OTHER (SPECIFY),False,False,2232,22,34,73,6,,,2020,11/17/20 15:49,,,
120,12218389,JD427193,11/10/20 13:05,056XX S RACINE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,712,7,16,68,15,,,2020,11/17/20 15:49,,,
121,12218165,JD427775,11/10/20 22:38,079XX S MUSKEGON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,422,4,7,46,14,,,2020,11/17/20 15:49,,,
