,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
196,12222894,JD432608,11/9/20 9:48,030XX W ADDISON ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1733,17,33,21,6,,,2020,11/17/20 15:49,,,
197,12217817,JD427377,11/10/20 14:19,070XX S PAULINA ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,735,7,17,67,6,,,2020,11/17/20 15:49,,,
198,12219044,JD427461,11/10/20 16:01,069XX S OGLESBY AVE,650,BURGLARY,HOME INVASION,APARTMENT,False,False,331,3,5,43,5,,,2020,11/17/20 15:49,,,
199,12217989,JD427356,11/10/20 12:00,073XX S SOUTH SHORE DR,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,334,3,7,43,04B,,,2020,11/17/20 15:49,,,
200,12218437,JD428199,11/10/20 16:00,021XX W DIVISION ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,False,1424,14,2,24,11,,,2020,11/17/20 15:49,,,
201,12217574,JD427147,11/10/20 11:45,112XX S EDBROOKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,531,5,9,49,08B,,,2020,11/17/20 15:49,,,
202,12221091,JD427328,11/10/20 14:30,031XX W WASHINGTON BLVD,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,False,1222,12,27,27,04B,,,2020,11/17/20 15:49,,,
204,12218110,JD426775,11/10/20 5:30,069XX S CLYDE AVE,325,ROBBERY,VEHICULAR HIJACKING,ALLEY,False,False,331,3,5,43,3,,,2020,11/17/20 15:49,,,
205,12217496,JD427104,11/10/20 11:58,103XX S COMMERCIAL AVE,460,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,431,4,10,51,08B,,,2020,11/17/20 15:49,,,
207,12217645,JD427316,11/10/20 12:00,025XX W HOLLYWOOD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2011,20,40,2,11,,,2020,11/17/20 15:49,,,
208,12223164,JD432552,10/28/20 19:50,103XX S DOTY AVE E,820,THEFT,$500 AND UNDER,GOVERNMENT BUILDING / PROPERTY,False,False,434,4,10,51,6,,,2020,11/17/20 15:49,,,
209,12217902,JD427588,11/10/20 17:45,002XX S HAMLIN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1122,11,28,27,14,,,2020,11/17/20 15:49,,,
210,12217871,JD427329,11/10/20 14:15,084XX W LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1614,16,38,76,08B,,,2020,11/17/20 15:49,,,
211,12217334,JD426929,11/10/20 9:20,012XX E 53RD ST,460,BATTERY,SIMPLE,SIDEWALK,False,False,234,2,4,41,08B,,,2020,11/17/20 15:49,,,
213,12219569,JD429331,11/10/20 16:00,013XX S BLUE ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1232,12,25,28,14,,,2020,11/17/20 15:49,,,
214,12217444,JD427082,11/10/20 10:49,007XX W WAYMAN ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,12,42,28,6,,,2020,11/17/20 15:49,,,
215,12223033,JD426748,11/10/20 3:59,078XX S LOOMIS BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,612,6,17,71,7,,,2020,11/17/20 15:49,,,
216,12217791,JD427514,11/10/20 16:32,007XX N LOREL AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1524,15,37,25,18,,,2020,11/17/20 15:49,,,
217,12217602,JD427230,11/10/20 13:15,010XX W 77TH ST,460,BATTERY,SIMPLE,APARTMENT,False,True,612,6,17,71,08B,,,2020,11/17/20 15:49,,,
218,12222846,JD433373,11/9/20 16:00,007XX W GRAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,False,False,1214,12,27,24,14,,,2020,11/17/20 15:49,,,
219,12218100,JD427726,11/10/20 17:15,080XX S ELLIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,631,6,8,44,08B,,,2020,11/17/20 15:49,,,
220,12222895,JD432672,11/6/20 17:30,078XX S HOMAN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,835,8,18,70,11,,,2020,11/17/20 15:49,,,
221,12217476,JD427031,11/10/20 11:00,073XX S EMERALD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,732,7,6,68,08B,,,2020,11/17/20 15:49,,,
222,12222404,JD432713,9/1/20 8:00,052XX N MASON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1622,16,45,11,11,,,2020,11/17/20 15:49,,,
224,12218235,JD427887,11/10/20 13:00,005XX N ADA ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,1215,12,1,24,7,,,2020,11/17/20 15:49,,,
225,12218143,JD427790,11/10/20 21:35,023XX N KEYSTONE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2525,25,35,20,15,,,2020,11/17/20 15:49,,,
226,12223206,JD433660,11/9/20 12:00,078XX S MERRILL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,414,4,8,43,11,,,2020,11/17/20 15:49,,,
227,12219937,JD427121,11/10/20 12:05,025XX W DIVISION ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,1423,14,26,24,04A,,,2020,11/17/20 15:49,,,
228,12218360,JD428094,11/10/20 18:00,028XX W 22ND PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1033,10,12,30,7,,,2020,11/17/20 15:49,,,
230,12222870,JD432582,10/7/20 10:57,029XX S FEDERAL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,133,1,3,35,11,,,2020,11/17/20 15:49,,,
231,12217783,JD427357,11/10/20 15:00,031XX W 65TH ST,031A,ROBBERY,ARMED - HANDGUN,ALLEY,False,False,823,8,17,66,3,,,2020,11/17/20 15:49,,,
232,12217946,JD427583,11/10/20 7:30,100XX S LUELLA AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,431,4,7,51,5,,,2020,11/17/20 15:49,,,
233,12218051,JD427761,11/10/20 17:00,002XX W 75TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,623,6,6,69,6,,,2020,11/17/20 15:49,,,
235,12217463,JD427004,11/10/20 10:23,033XX W MONTROSE AVE,860,THEFT,RETAIL THEFT,DRUG STORE,False,False,1724,17,33,16,6,,,2020,11/17/20 15:49,,,
237,12217201,JD426758,11/10/20 4:43,103XX S TORRENCE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,434,4,7,51,7,,,2020,11/17/20 15:49,,,
238,12220476,JD429893,11/10/20 10:00,032XX W WASHINGTON BLVD,810,THEFT,OVER $500,RESIDENCE,False,False,1123,11,28,27,6,,,2020,11/17/20 15:49,,,
239,12218091,JD427755,11/10/20 16:34,035XX W CHICAGO AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,True,False,1121,11,27,23,08B,,,2020,11/17/20 15:49,,,
240,12217883,JD427429,11/10/20 16:00,079XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,623,6,6,44,08B,,,2020,11/17/20 15:49,,,
241,12217121,JD426683,11/10/20 0:10,070XX N CLARK ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,2424,24,49,1,18,,,2020,11/17/20 15:49,,,
242,12222625,JD432936,7/20/20 12:00,044XX N SHERIDAN RD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,False,False,1914,19,46,3,11,,,2020,11/17/20 15:49,,,
243,12217375,JD426967,11/10/20 9:45,009XX E 84TH ST,560,ASSAULT,SIMPLE,RESIDENCE,False,True,632,6,8,44,08A,,,2020,11/17/20 15:49,,,
244,12218915,JD428407,11/10/20 4:00,043XX W WASHINGTON BLVD,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,1114,11,28,26,04B,,,2020,11/17/20 15:49,,,
245,12218215,JD427233,11/10/20 13:50,037XX S INDIANA AVE,460,BATTERY,SIMPLE,RESIDENCE,False,False,212,2,3,35,08B,,,2020,11/17/20 15:49,,,
246,12217841,JD427445,11/10/20 16:13,050XX S ASHLAND AVE,560,ASSAULT,SIMPLE,DEPARTMENT STORE,False,False,931,9,20,61,08A,,,2020,11/17/20 15:49,,,
247,12218280,JD427895,11/10/20 18:30,068XX S NORMAL BLVD,460,BATTERY,SIMPLE,SIDEWALK,False,False,722,7,6,68,08B,,,2020,11/17/20 15:49,,,
248,12217402,JD427023,11/10/20 10:30,088XX S ADA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2222,22,21,71,08B,,,2020,11/17/20 15:49,,,
249,12218583,JD428392,11/10/20 13:00,075XX S WABASH AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,623,6,6,69,11,,,2020,11/17/20 15:49,,,
250,12217959,JD427684,11/10/20 19:47,013XX S SPRINGFIELD AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,False,1011,10,24,29,15,,,2020,11/17/20 15:49,,,
251,12217802,JD427548,11/10/20 14:51,010XX N RUSH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1824,18,42,8,6,,,2020,11/17/20 15:49,,,
252,12217513,JD426945,11/10/20 9:50,076XX S EAST END AVE,460,BATTERY,SIMPLE,APARTMENT,False,False,414,4,8,43,08B,,,2020,11/17/20 15:49,,,
253,12217682,JD427048,11/10/20 9:40,002XX W 87TH ST,810,THEFT,OVER $500,SMALL RETAIL STORE,True,False,622,6,21,44,6,,,2020,11/17/20 15:49,,,
254,12218468,JD427505,11/10/20 7:15,014XX W ADDISON ST,610,BURGLARY,FORCIBLE ENTRY,ALLEY,False,False,1922,19,44,6,5,,,2020,11/17/20 15:49,,,
255,12217719,JD427405,11/10/20 9:00,021XX W 67TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,726,7,16,67,14,,,2020,11/17/20 15:49,,,
256,12222886,JD432724,11/8/20 0:00,008XX W CORNELIA AVE,810,THEFT,OVER $500,SIDEWALK,False,False,1924,19,44,6,6,,,2020,11/17/20 15:49,,,
257,12217654,JD427258,11/10/20 13:45,030XX E 83RD ST,560,ASSAULT,SIMPLE,STREET,False,True,424,4,7,46,08A,,,2020,11/17/20 15:49,,,
258,12217429,JD427035,11/10/20 10:00,080XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,True,631,6,6,44,14,,,2020,11/17/20 15:49,,,
259,12222440,JD432833,11/9/20 0:00,003XX N GREEN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1214,12,27,28,7,,,2020,11/17/20 15:49,,,
260,12218156,JD427747,11/10/20 21:40,069XX S PRINCETON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,731,7,6,69,08B,,,2020,11/17/20 15:49,,,
261,12217707,JD427339,11/10/20 13:50,011XX N CLARK ST,460,BATTERY,SIMPLE,CONVENIENCE STORE,False,False,1824,18,2,8,08B,,,2020,11/17/20 15:49,,,
262,12217864,JD427512,11/10/20 16:40,016XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,1434,14,2,24,08A,,,2020,11/17/20 15:49,,,
263,12218118,JD427795,11/10/20 23:00,070XX S RACINE AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,734,7,6,67,3,,,2020,11/17/20 15:49,,,
264,12219350,JD429224,11/10/20 15:00,093XX S SAGINAW AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,423,4,7,48,11,,,2020,11/17/20 15:49,,,
265,12217227,JD426766,11/10/20 5:26,086XX S EUCLID AVE,460,BATTERY,SIMPLE,APARTMENT,False,False,412,4,8,45,08B,,,2020,11/17/20 15:49,,,
267,12217609,JD427152,11/10/20 12:24,013XX S SPRINGFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),True,False,1011,10,24,29,15,,,2020,11/17/20 15:49,,,
269,12218080,JD427641,11/10/20 18:45,099XX S HALSTED ST,930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,GAS STATION,False,False,2232,22,34,73,7,,,2020,11/17/20 15:49,,,
270,12222654,JD431458,10/25/20 9:00,004XX W 46TH PL,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,False,False,925,9,11,61,10,,,2020,11/17/20 15:49,,,
271,12217287,JD426808,11/10/20 5:00,080XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,422,4,7,46,14,,,2020,11/17/20 15:49,,,
273,12218821,JD428231,11/10/20 0:05,022XX W MADISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,1223,12,27,28,14,,,2020,11/17/20 15:49,,,
274,12217139,JD426712,11/10/20 0:54,071XX S CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,831,8,18,66,15,,,2020,11/17/20 15:49,,,
275,12218390,JD427921,11/10/20 19:45,015XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),False,False,1424,14,1,24,14,,,2020,11/17/20 15:49,,,
276,12217347,JD426946,11/10/20 9:43,115XX S VINCENNES AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,2212,22,34,75,11,,,2020,11/17/20 15:49,,,
277,12218516,JD427749,11/10/20 21:21,025XX W 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,835,8,18,70,14,,,2020,11/17/20 15:49,,,
278,12217174,JD426746,11/10/20 3:50,030XX W 107TH ST,810,THEFT,OVER $500,STREET,False,False,2211,22,19,74,6,,,2020,11/17/20 15:49,,,
279,12217916,JD427542,11/10/20 16:07,031XX W IRVING PARK RD,810,THEFT,OVER $500,OTHER (SPECIFY),False,False,1724,17,33,16,6,,,2020,11/17/20 15:49,,,
280,12222457,JD432877,11/2/20 9:00,010XX W FOSTER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2024,20,48,3,11,,,2020,11/17/20 15:49,,,
281,12217771,JD427318,11/10/20 12:00,067XX W ARCHER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,811,8,23,56,14,,,2020,11/17/20 15:49,,,
282,12218003,JD427671,11/10/20 19:30,070XX S EAST END AVE,312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,332,3,5,43,3,,,2020,11/17/20 15:49,,,
283,12217523,JD427150,11/10/20 12:33,035XX W LAKE ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1123,11,28,27,18,,,2020,11/17/20 15:49,,,
284,12217314,JD426838,11/10/20 8:00,097XX S RACINE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2213,22,21,73,3,,,2020,11/17/20 15:49,,,
285,12218025,JD427710,11/10/20 20:00,004XX W 98TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,True,2223,22,21,73,04A,,,2020,11/17/20 15:49,,,
286,12222702,JD426661,11/9/20 22:02,003XX W EVERGREEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1821,18,27,8,08B,,,2020,11/17/20 15:49,,,
287,12222678,JD433029,9/11/20 9:00,020XX S MORGAN ST,810,THEFT,OVER $500,RESIDENCE,False,False,1235,12,25,31,6,,,2020,11/17/20 15:49,,,
288,12218013,JD427681,11/10/20 19:58,049XX W ADAMS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,1533,15,28,25,14,,,2020,11/17/20 15:49,,,
289,12217212,JD426740,11/10/20 2:50,112XX S DR MARTIN LUTHER KING JR DR,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,531,5,9,49,04B,,,2020,11/17/20 15:49,,,
291,12218456,JD428222,11/10/20 15:10,076XX S CHAPPEL AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,414,4,8,43,6,,,2020,11/17/20 15:49,,,
292,12217737,JD427368,11/10/20 14:47,001XX S WESTERN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1223,12,27,28,15,,,2020,11/17/20 15:49,,,
293,12218624,JD428348,11/10/20 21:16,066XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,722,7,6,69,14,,,2020,11/17/20 15:49,,,
294,12217692,JD427312,11/10/20 13:50,007XX N TRUMBULL AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27,23,18,,,2020,11/17/20 15:49,,,
295,12222614,JD432675,10/21/20 15:30,073XX S ST LAWRENCE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,323,3,6,69,7,,,2020,11/17/20 15:49,,,
296,12222757,JD433184,11/2/20 12:00,002XX S MICHIGAN AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,OTHER (SPECIFY),False,False,113,1,42,32,11,,,2020,11/17/20 15:49,,,
297,12222879,JD432555,8/16/20 9:00,006XX W SURF ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,1934,19,44,6,11,,,2020,11/17/20 15:49,,,
298,12218264,JD427972,11/10/20 22:00,028XX W TOUHY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,2411,24,50,2,7,,,2020,11/17/20 15:49,,,
300,12218819,JD428502,11/10/20 2:00,052XX S WOODLAWN AVE,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,233,2,5,41,6,,,2020,11/17/20 15:49,,,
301,12217145,JD426722,11/10/20 2:00,068XX S HERMITAGE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,725,7,17,67,08B,,,2020,11/17/20 15:49,,,
302,12218035,JD427645,11/10/20 18:55,113XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,531,5,9,49,08B,,,2020,11/17/20 15:49,,,
303,12217706,JD427348,11/10/20 14:23,027XX S SAWYER AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,1032,10,22,30,18,,,2020,11/17/20 15:49,,,
305,12217324,JD426856,11/10/20 5:00,069XX S WOODLAWN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,321,3,5,69,08B,,,2020,11/17/20 15:49,,,
306,12217990,JD427601,11/10/20 13:00,052XX S HERMITAGE AVE,460,BATTERY,SIMPLE,RESIDENCE,False,False,932,9,16,61,08B,,,2020,11/17/20 15:49,,,
307,12217657,JD427231,11/10/20 13:10,057XX S ASHLAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS STOP,False,False,713,7,16,67,14,,,2020,11/17/20 15:49,,,
308,12217214,JD426753,11/10/20 4:22,051XX S MORGAN ST,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - YARD (FRONT / BACK),False,False,934,9,20,61,04B,,,2020,11/17/20 15:49,,,
309,12217927,JD427666,11/10/20 3:20,039XX W MONTROSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),False,False,1723,17,39,16,14,,,2020,11/17/20 15:49,,,
310,12217618,JD427039,11/10/20 10:51,004XX E 41ST ST,560,ASSAULT,SIMPLE,SIDEWALK,False,False,214,2,3,38,08A,,,2020,11/17/20 15:49,,,
311,12217196,JD426745,11/10/20 3:24,091XX S STONY ISLAND AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",HOTEL / MOTEL,True,False,413,4,8,48,08B,,,2020,11/17/20 15:49,,,
312,12217189,JD426694,11/10/20 0:00,021XX E 91ST ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,413,4,7,48,3,,,2020,11/17/20 15:49,,,
313,12217670,JD427321,11/10/20 13:50,011XX E 82ND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,411,4,8,45,08B,,,2020,11/17/20 15:49,,,
314,12218676,JD428452,11/10/20 10:11,053XX S KIMBARK AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,234,2,5,41,11,,,2020,11/17/20 15:49,,,
315,12220516,JD430335,11/10/20 23:00,030XX N SAWYER AVE,810,THEFT,OVER $500,STREET,False,False,1412,14,35,21,6,,,2020,11/17/20 15:49,,,
316,12218644,JD428115,11/10/20 16:00,021XX N LAPORTE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2522,25,36,19,7,,,2020,11/17/20 15:49,,,
318,12218509,JD427741,11/10/20 20:00,037XX W 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,833,8,13,65,14,,,2020,11/17/20 15:49,,,
319,12218038,JD427709,11/10/20 20:24,078XX S ESSEX AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,421,4,7,43,15,,,2020,11/17/20 15:49,,,
320,12222774,JD433230,8/15/20 12:00,049XX W VAN BUREN ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1533,15,29,25,5,,,2020,11/17/20 15:49,,,
321,12222032,JD432184,11/10/20 22:24,040XX W FOSTER AVE,810,THEFT,OVER $500,GROCERY FOOD STORE,False,False,1712,17,39,13,6,,,2020,11/17/20 15:49,,,
323,12222445,JD432858,10/23/20 14:00,094XX S VERNON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,633,6,9,49,11,,,2020,11/17/20 15:49,,,
324,12218077,JD427773,11/10/20 22:15,037XX N TRIPP AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1731,17,45,16,5,,,2020,11/17/20 15:49,,,
325,12220469,JD429922,11/10/20 14:00,005XX W MELROSE ST,810,THEFT,OVER $500,APARTMENT,False,False,1925,19,44,6,6,,,2020,11/17/20 15:49,,,
326,12217776,JD427537,11/10/20 14:00,024XX W ESTES AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2411,24,50,2,11,,,2020,11/17/20 15:49,,,
327,12218199,JD427676,11/10/20 19:50,014XX E 57TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,235,2,5,41,3,,,2020,11/17/20 15:49,,,
328,12223242,JD433675,10/28/20 16:03,008XX W WELLINGTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,HOSPITAL BUILDING / GROUNDS,False,False,1933,19,44,6,11,,,2020,11/17/20 15:49,,,
329,12217931,JD427615,11/10/20 18:07,006XX N TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1221,12,27,23,14,,,2020,11/17/20 15:49,,,
330,12145278,JD321362,8/5/20 9:00,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11,24,29,18,,,2020,11/17/20 15:49,,,
331,12217881,JD427587,11/10/20 12:00,081XX S HALSTED ST,820,THEFT,$500 AND UNDER,TAVERN / LIQUOR STORE,False,False,613,6,21,71,6,,,2020,11/17/20 15:49,,,
333,12217865,JD427471,11/10/20 16:03,012XX W 111TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,2234,22,34,75,14,,,2020,11/17/20 15:49,,,
334,12218140,JD427810,11/10/20 22:30,082XX S PRAIRIE AVE,560,ASSAULT,SIMPLE,APARTMENT,False,True,631,6,6,44,08A,,,2020,11/17/20 15:49,,,
335,12217562,JD427178,11/10/20 12:50,028XX S HOMAN AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,True,1032,10,22,30,6,,,2020,11/17/20 15:49,,,
336,12217356,JD426934,11/10/20 9:48,034XX N OZANAM AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1631,16,38,17,11,,,2020,11/17/20 15:49,,,
337,12217583,JD426867,11/10/20 7:30,027XX W 64TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,825,8,17,66,3,,,2020,11/17/20 15:49,,,
338,12222887,JD432807,9/11/20 11:30,081XX S South Shore Dr,810,THEFT,OVER $500,RESIDENCE,False,False,422,4,7,46,6,,,2020,11/17/20 15:49,,,
339,12220258,JD430214,11/10/20 13:00,052XX S NORDICA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,811,8,23,56,11,,,2020,11/17/20 15:49,,,
340,12218250,JD427938,11/10/20 14:00,063XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2413,24,50,2,14,,,2020,11/17/20 15:49,,,
341,12217207,JD426756,11/10/20 4:35,099XX S THROOP ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2213,22,34,73,3,,,2020,11/17/20 15:49,,,
342,12222641,JD433084,10/8/20 9:00,034XX N ORANGE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1631,16,38,17,11,,,2020,11/17/20 15:49,,,
343,12217567,JD426820,11/10/20 1:43,047XX N KILBOURN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1722,17,39,16,04A,,,2020,11/17/20 15:49,,,
344,12217140,JD426715,11/10/20 1:37,052XX S RACINE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,934,9,20,61,04A,,,2020,11/17/20 15:49,,,
345,12217685,JD427330,11/10/20 14:22,073XX S DORCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,324,3,8,43,08B,,,2020,11/17/20 15:49,,,
346,12219110,JD428057,11/10/20 17:17,035XX W ADAMS ST,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,1123,11,28,27,6,,,2020,11/17/20 15:49,,,
