ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12217670,JD427321,11/10/20 13:50,011XX E 82ND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,411,4,8,45,08B,,,2020,11/17/20 15:49,,,
12218676,JD428452,11/10/20 10:11,053XX S KIMBARK AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,234,2,5,41,11,,,2020,11/17/20 15:49,,,
12220516,JD430335,11/10/20 23:00,030XX N SAWYER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1412,14,35,21,6,,,2020,11/17/20 15:49,,,
12218644,JD428115,11/10/20 16:00,021XX N LAPORTE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2522,25,36,19,7,,,2020,11/17/20 15:49,,,
12222931,JD433310,11/2/20 0:01,0000X W 15TH ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,FALSE,FALSE,131,1,3,33,17,,,2020,11/17/20 15:49,,,
12218509,JD427741,11/10/20 20:00,037XX W 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,833,8,13,65,14,,,2020,11/17/20 15:49,,,
12218038,JD427709,11/10/20 20:24,078XX S ESSEX AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,421,4,7,43,15,,,2020,11/17/20 15:49,,,
12222774,JD433230,8/15/20 12:00,049XX W VAN BUREN ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1533,15,29,25,5,,,2020,11/17/20 15:49,,,
12222032,JD432184,11/10/20 22:24,040XX W FOSTER AVE,810,THEFT,OVER $500,GROCERY FOOD STORE,FALSE,FALSE,1712,17,39,13,6,,,2020,11/17/20 15:49,,,
12218435,JD426989,11/10/20 10:15,023XX N KENMORE AVE,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,FALSE,FALSE,1811,18,43,7,26,,,2020,11/17/20 15:49,,,
